Year,Redundancy level
2000 JAN,189
2000 FEB,186
2000 MAR,180
2000 APR,176
2000 MAY,179
2000 JUN,166
2000 JUL,155
2000 AUG,155
2000 SEP,155
2000 OCT,160
2000 NOV,157
2000 DEC,160
2001 JAN,163
2001 FEB,158
2001 MAR,160
2001 APR,166
2001 MAY,169
2001 JUN,174
2001 JUL,176
2001 AUG,191
2001 SEP,187
2001 OCT,189
2001 NOV,193
2001 DEC,204
2002 JAN,211
2002 FEB,203
2002 MAR,199
2002 APR,196
2002 MAY,194
2002 JUN,190
2002 JUL,175
2002 AUG,172
2002 SEP,175
2002 OCT,168
2002 NOV,173
2002 DEC,174
2003 JAN,185
2003 FEB,179
2003 MAR,177
2003 APR,157
2003 MAY,156
2003 JUN,145
2003 JUL,155
2003 AUG,155
2003 SEP,157
2003 OCT,151
2003 NOV,141
2003 DEC,143
2004 JAN,139
2004 FEB,144
2004 MAR,144
2004 APR,145
2004 MAY,147
2004 JUN,137
2004 JUL,138
2004 AUG,130
2004 SEP,136
2004 OCT,139
2004 NOV,143
2004 DEC,140
2005 JAN,143
2005 FEB,139
2005 MAR,133
2005 APR,128
2005 MAY,129
2005 JUN,140
2005 JUL,152
2005 AUG,156
2005 SEP,143
2005 OCT,139
2005 NOV,145
2005 DEC,148
2006 JAN,149
2006 FEB,148
2006 MAR,153
2006 APR,146
2006 MAY,137
2006 JUN,135
2006 JUL,132
2006 AUG,137
2006 SEP,137
2006 OCT,136
2006 NOV,132
2006 DEC,142
2007 JAN,153
2007 FEB,153
2007 MAR,136
2007 APR,124
2007 MAY,117
2007 JUN,115
2007 JUL,113
2007 AUG,129
2007 SEP,128
2007 OCT,124
2007 NOV,110
2007 DEC,116
2008 JAN,115
2008 FEB,120
2008 MAR,116
2008 APR,121
2008 MAY,122
2008 JUN,134
2008 JUL,140
2008 AUG,155
2008 SEP,177
2008 OCT,228
2008 NOV,263
2008 DEC,277
2009 JAN,283
2009 FEB,300
2009 MAR,311
2009 APR,306
2009 MAY,269
2009 JUN,233
2009 JUL,214
2009 AUG,205
2009 SEP,191
2009 OCT,182
2009 NOV,167
2009 DEC,166
2010 JAN,161
2010 FEB,177
2010 MAR,173
2010 APR,160
2010 MAY,151
2010 JUN,141
2010 JUL,143
2010 AUG,145
2010 SEP,160
2010 OCT,160
2010 NOV,148
2010 DEC,143
2011 JAN,127
2011 FEB,123
2011 MAR,117
2011 APR,145
2011 MAY,156
2011 JUN,164
2011 JUL,151
2011 AUG,148
2011 SEP,163
2011 OCT,165
2011 NOV,165
2011 DEC,173
2012 JAN,175
2012 FEB,173
2012 MAR,156
2012 APR,148
2012 MAY,151
2012 JUN,143
2012 JUL,131
2012 AUG,129
2012 SEP,147
2012 OCT,159
2012 NOV,146
2012 DEC,133
2013 JAN,138
2013 FEB,141
2013 MAR,142
2013 APR,119
2013 MAY,124
2013 JUN,122
2013 JUL,133
2013 AUG,125
2013 SEP,120
2013 OCT,111
2013 NOV,111
2013 DEC,117
2014 JAN,116
2014 FEB,126
2014 MAR,121
2014 APR,118
2014 MAY,112
2014 JUN,92
2014 JUL,95
2014 AUG,91
2014 SEP,102
2014 OCT,103
2014 NOV,107
2014 DEC,114
2015 JAN,108
2015 FEB,110
2015 MAR,110
2015 APR,119
2015 MAY,113
2015 JUN,107
2015 JUL,106
2015 AUG,112
2015 SEP,105
2015 OCT,102
2015 NOV,98
2015 DEC,111
2016 JAN,112
2016 FEB,111
2016 MAR,102
2016 APR,104
2016 MAY,112
2016 JUN,122
2016 JUL,119
2016 AUG,114
2016 SEP,118
2016 OCT,123
2016 NOV,121
2016 DEC,117
2017 JAN,106
2017 FEB,95
2017 MAR,89
2017 APR,96
2017 MAY,112
2017 JUN,110
2017 JUL,107
2017 AUG,102
2017 SEP,100
2017 OCT,109
2017 NOV,107
2017 DEC,102
2018 JAN,97
2018 FEB,95
2018 MAR,108
2018 APR,95
2018 MAY,98
2018 JUN,87
2018 JUL,90
2018 AUG,84
2018 SEP,83
2018 OCT,91
2018 NOV,91
2018 DEC,91
2019 JAN,88
2019 FEB,92
2019 MAR,108
2019 APR,101
2019 MAY,104
2019 JUN,98
2019 JUL,115
2019 AUG,118
2019 SEP,118
2019 OCT,115
2019 NOV,109
2019 DEC,106
2020 JAN,107
2020 FEB,105
2020 MAR,107
2020 APR,115
2020 MAY,134
2020 JUN,155
2020 JUL,230
2020 AUG,317
2020 SEP,377
2020 OCT,402
2020 NOV,356
2020 DEC,316
2021 JAN,207
2021 FEB,149
2021 MAR,108
2021 APR,103
2021 MAY,98
2021 JUN,93
2021 JUL,99
2021 AUG,105
2021 SEP,98
2021 OCT,78
2021 NOV,72
2021 DEC,69
2022 JAN,75
2022 FEB,70
2022 MAR,56
2022 APR,51
2022 MAY,54
2022 JUN,64
2022 JUL,68
2022 AUG,75
2022 SEP,89
