Country,number,rate,gdp(in USD Billion)
United States of America,92,92.5566,96513
United Kingdom,19,58.45991,3131
Australia,10,82.62434,1553
China,11,25.73664,17734
Switzerland,5,53.79132,801
Hong Kong,3,60.46672,368
Belgium,2,69.23773,594
Denmark,3,77.04228,398
Norway,3,73.60971,482
Japan,2,59.90947,4941
Finland,1,93.17938,297
Sweden,6,70.61802,636
Italy,5,65.53654,2108
Spain,3,81.68628,1427
South Korea,1,97.94073,1799
Portugal,1,66.33342,254
New Zealand,1,81.47717,250
Austria,1,70.63227,480
Mexico,1,27.18259,1273
